"mon_year"	"category"	"n"
"Dec-2009"	11	12
"Dec-2009"	12	47
"Dec-2009"	13	10
"Dec-2009"	14	42
"Dec-2009"	15	58
"Dec-2009"	16	6
"Dec-2009"	17	6
"Dec-2009"	18	19
"Dec-2009"	19	14
"Dec-2009"	20	18
"Dec-2010"	1	225
"Dec-2010"	2	90
"Dec-2010"	3	93
"Dec-2010"	4	115
"Dec-2010"	5	63
"Dec-2010"	6	40
"Dec-2010"	7	102
"Dec-2010"	8	32
"Dec-2010"	9	50
"Dec-2010"	10	124
"Dec-2010"	11	73
"Dec-2010"	12	103
"Dec-2010"	13	42
"Dec-2010"	14	136
"Dec-2010"	15	143
"Dec-2010"	16	29
"Dec-2010"	17	13
"Dec-2010"	18	44
"Dec-2010"	19	41
"Dec-2010"	20	59
"Dec-2011"	1	218
"Dec-2011"	2	103
"Dec-2011"	3	92
"Dec-2011"	4	143
"Dec-2011"	5	61
"Dec-2011"	6	49
"Dec-2011"	7	109
"Dec-2011"	8	32
"Dec-2011"	9	45
"Dec-2011"	10	147
"Dec-2011"	11	70
"Dec-2011"	12	96
"Dec-2011"	13	49
"Dec-2011"	14	173
"Dec-2011"	15	145
"Dec-2011"	16	35
"Dec-2011"	17	14
"Dec-2011"	18	46
"Dec-2011"	19	43
"Dec-2011"	20	71
"Dec-2012"	1	103
"Dec-2012"	2	39
"Dec-2012"	3	47
"Dec-2012"	4	82
"Dec-2012"	5	33
"Dec-2012"	6	25
"Dec-2012"	7	61
"Dec-2012"	8	17
"Dec-2012"	9	24
"Dec-2012"	10	97
"Dec-2012"	11	43
"Dec-2012"	12	44
"Dec-2012"	13	31
"Dec-2012"	14	101
"Dec-2012"	15	89
"Dec-2012"	16	24
"Dec-2012"	17	10
"Dec-2012"	18	37
"Dec-2012"	19	30
"Dec-2012"	20	32
"Dec-2013"	1	112
"Dec-2013"	2	55
"Dec-2013"	3	58
"Dec-2013"	4	89
"Dec-2013"	5	43
"Dec-2013"	6	26
"Dec-2013"	7	68
"Dec-2013"	8	17
"Dec-2013"	9	23
"Dec-2013"	10	86
"Dec-2013"	11	55
"Dec-2013"	12	73
"Dec-2013"	13	22
"Dec-2013"	14	97
"Dec-2013"	15	97
"Dec-2013"	16	21
"Dec-2013"	17	4
"Dec-2013"	18	53
"Dec-2013"	19	23
"Dec-2013"	20	44
"Feb-2004"	1	165
"Feb-2004"	2	28
"Feb-2004"	3	23
"Feb-2004"	4	22
"Feb-2004"	5	6
"Feb-2004"	6	8
"Feb-2004"	7	27
"Feb-2004"	8	7
"Feb-2004"	9	6
"Feb-2004"	10	21
"Feb-2004"	11	16
"Feb-2004"	12	12
"Feb-2004"	13	10
"Feb-2004"	14	10
"Feb-2004"	15	31
"Feb-2004"	16	4
"Feb-2004"	17	5
"Feb-2004"	18	2
"Feb-2004"	19	11
"Feb-2004"	20	15
"Feb-2005"	1	96
"Feb-2005"	2	27
"Feb-2005"	3	11
"Feb-2005"	4	17
"Feb-2005"	5	8
"Feb-2005"	6	13
"Feb-2005"	7	28
"Feb-2005"	8	3
"Feb-2005"	9	7
"Feb-2005"	10	19
"Feb-2005"	11	9
"Feb-2005"	12	14
"Feb-2005"	13	12
"Feb-2005"	14	10
"Feb-2005"	15	40
"Feb-2005"	16	9
"Feb-2005"	17	4
"Feb-2005"	18	3
"Feb-2005"	19	11
"Feb-2005"	20	16
"Feb-2005"	NA	2
"Feb-2006"	1	246
"Feb-2006"	2	53
"Feb-2006"	3	33
"Feb-2006"	4	57
"Feb-2006"	5	32
"Feb-2006"	6	21
"Feb-2006"	7	60
"Feb-2006"	8	18
"Feb-2006"	9	15
"Feb-2006"	10	65
"Feb-2006"	11	20
"Feb-2006"	12	41
"Feb-2006"	13	21
"Feb-2006"	14	44
"Feb-2006"	15	78
"Feb-2006"	16	15
"Feb-2006"	17	7
"Feb-2006"	18	12
"Feb-2006"	19	42
"Feb-2006"	20	22
"Feb-2008"	1	330
"Feb-2008"	2	95
"Feb-2008"	3	75
"Feb-2008"	4	114
"Feb-2008"	5	55
"Feb-2008"	6	42
"Feb-2008"	7	103
"Feb-2008"	8	33
"Feb-2008"	9	42
"Feb-2008"	10	109
"Feb-2008"	11	33
"Feb-2008"	12	63
"Feb-2008"	13	46
"Feb-2008"	14	97
"Feb-2008"	15	157
"Feb-2008"	16	24
"Feb-2008"	17	12
"Feb-2008"	18	52
"Feb-2008"	19	46
"Feb-2008"	20	62
"Feb-2009"	1	293
"Feb-2009"	2	101
"Feb-2009"	3	77
"Feb-2009"	4	152
"Feb-2009"	5	65
"Feb-2009"	6	44
"Feb-2009"	7	107
"Feb-2009"	8	30
"Feb-2009"	9	55
"Feb-2009"	10	110
"Feb-2009"	11	32
"Feb-2009"	12	85
"Feb-2009"	13	51
"Feb-2009"	14	118
"Feb-2009"	15	151
"Feb-2009"	16	26
"Feb-2009"	17	9
"Feb-2009"	18	52
"Feb-2009"	19	53
"Feb-2009"	20	61
"Feb-2010"	1	314
"Feb-2010"	2	107
"Feb-2010"	3	91
"Feb-2010"	4	140
"Feb-2010"	5	78
"Feb-2010"	6	47
"Feb-2010"	7	108
"Feb-2010"	8	27
"Feb-2010"	9	67
"Feb-2010"	10	139
"Feb-2010"	11	24
"Feb-2010"	12	78
"Feb-2010"	13	53
"Feb-2010"	14	126
"Feb-2010"	15	156
"Feb-2010"	16	30
"Feb-2010"	17	11
"Feb-2010"	18	51
"Feb-2010"	19	62
"Feb-2010"	20	68
"Feb-2011"	1	44
"Feb-2011"	2	14
"Feb-2011"	3	17
"Feb-2011"	4	30
"Feb-2011"	5	4
"Feb-2011"	6	9
"Feb-2011"	7	15
"Feb-2011"	8	3
"Feb-2011"	9	11
"Feb-2011"	10	21
"Feb-2011"	11	3
"Feb-2011"	12	7
"Feb-2011"	13	7
"Feb-2011"	14	30
"Feb-2011"	15	31
"Feb-2011"	16	3
"Feb-2011"	17	1
"Feb-2011"	18	3
"Feb-2011"	19	8
"Feb-2011"	20	13
"Feb-2012"	1	201
"Feb-2012"	2	75
"Feb-2012"	3	84
"Feb-2012"	4	145
"Feb-2012"	5	47
"Feb-2012"	6	42
"Feb-2012"	7	80
"Feb-2012"	8	24
"Feb-2012"	9	41
"Feb-2012"	10	129
"Feb-2012"	11	28
"Feb-2012"	12	55
"Feb-2012"	13	46
"Feb-2012"	14	139
"Feb-2012"	15	135
"Feb-2012"	16	23
"Feb-2012"	17	11
"Feb-2012"	18	39
"Feb-2012"	19	49
"Feb-2012"	20	55
"Feb-2013"	1	81
"Feb-2013"	2	40
"Feb-2013"	3	33
"Feb-2013"	4	65
"Feb-2013"	5	21
"Feb-2013"	6	19
"Feb-2013"	7	47
"Feb-2013"	8	11
"Feb-2013"	9	21
"Feb-2013"	10	63
"Feb-2013"	11	7
"Feb-2013"	12	35
"Feb-2013"	13	18
"Feb-2013"	14	80
"Feb-2013"	15	58
"Feb-2013"	16	7
"Feb-2013"	17	2
"Feb-2013"	18	16
"Feb-2013"	19	18
"Feb-2013"	20	20
"Feb-2014"	1	94
"Feb-2014"	2	41
"Feb-2014"	3	45
"Feb-2014"	4	73
"Feb-2014"	5	35
"Feb-2014"	6	26
"Feb-2014"	7	49
"Feb-2014"	8	16
"Feb-2014"	9	34
"Feb-2014"	10	59
"Feb-2014"	11	26
"Feb-2014"	12	30
"Feb-2014"	13	28
"Feb-2014"	14	98
"Feb-2014"	15	83
"Feb-2014"	16	15
"Feb-2014"	17	8
"Feb-2014"	18	26
"Feb-2014"	19	25
"Feb-2014"	20	28
"Jan-2004"	1	237
"Jan-2004"	2	39
"Jan-2004"	3	27
"Jan-2004"	4	39
"Jan-2004"	5	18
"Jan-2004"	6	11
"Jan-2004"	7	35
"Jan-2004"	8	7
"Jan-2004"	9	16
"Jan-2004"	10	31
"Jan-2004"	11	25
"Jan-2004"	12	23
"Jan-2004"	13	15
"Jan-2004"	14	10
"Jan-2004"	15	61
"Jan-2004"	16	16
"Jan-2004"	17	7
"Jan-2004"	18	13
"Jan-2004"	19	23
"Jan-2004"	20	13
