"mon_year"	"category"	"n"
"Apr-2014"	"travel & transportation"	68
"Apr-2014"	"work & money"	93
"Apr-2014"	"writing & language"	26
"Aug-2004"	"clothing, beauty, & fashion"	11
"Aug-2004"	"computers & internet"	234
"Aug-2004"	"education"	10
"Aug-2004"	"food & drink"	16
"Aug-2004"	"grab bag"	28
"Aug-2004"	"health & fitness"	19
"Aug-2004"	"home & garden"	29
"Aug-2004"	"human relations"	17
"Aug-2004"	"law & government"	24
"Aug-2004"	"media & arts"	81
"Aug-2004"	"pets & animals"	11
"Aug-2004"	"religion & philosophy"	6
"Aug-2004"	"science & nature"	9
"Aug-2004"	"shopping"	40
"Aug-2004"	"society & culture"	30
"Aug-2004"	"sports, hobbies, & recreation"	30
"Aug-2004"	"technology"	35
"Aug-2004"	"travel & transportation"	36
"Aug-2004"	"work & money"	36
"Aug-2004"	"writing & language"	16
"Aug-2005"	"clothing, beauty, & fashion"	30
"Aug-2005"	"computers & internet"	351
"Aug-2005"	"education"	27
"Aug-2005"	"food & drink"	57
"Aug-2005"	"grab bag"	50
"Aug-2005"	"health & fitness"	102
"Aug-2005"	"home & garden"	70
"Aug-2005"	"human relations"	57
"Aug-2005"	"law & government"	52
"Aug-2005"	"media & arts"	141
"Aug-2005"	"pets & animals"	34
"Aug-2005"	"religion & philosophy"	12
"Aug-2005"	"science & nature"	39
"Aug-2005"	"shopping"	30
"Aug-2005"	"society & culture"	38
"Aug-2005"	"sports, hobbies, & recreation"	54
"Aug-2005"	"technology"	92
"Aug-2005"	"travel & transportation"	121
"Aug-2005"	"work & money"	76
"Aug-2005"	"writing & language"	29
"Aug-2007"	"clothing, beauty, & fashion"	28
"Aug-2007"	"computers & internet"	255
"Aug-2007"	"education"	39
"Aug-2007"	"food & drink"	53
"Aug-2007"	"grab bag"	45
"Aug-2007"	"health & fitness"	80
"Aug-2007"	"home & garden"	67
"Aug-2007"	"human relations"	80
"Aug-2007"	"law & government"	33
"Aug-2007"	"media & arts"	125
"Aug-2007"	"pets & animals"	22
"Aug-2007"	"religion & philosophy"	7
"Aug-2007"	"science & nature"	28
"Aug-2007"	"shopping"	35
"Aug-2007"	"society & culture"	39
"Aug-2007"	"sports, hobbies, & recreation"	51
"Aug-2007"	"technology"	96
"Aug-2007"	"travel & transportation"	108
"Aug-2007"	"work & money"	100
"Aug-2007"	"writing & language"	29
"Aug-2008"	"clothing, beauty, & fashion"	24
"Aug-2008"	"computers & internet"	180
"Aug-2008"	"education"	36
"Aug-2008"	"food & drink"	46
"Aug-2008"	"grab bag"	31
"Aug-2008"	"health & fitness"	71
"Aug-2008"	"home & garden"	50
"Aug-2008"	"human relations"	67
"Aug-2008"	"law & government"	34
"Aug-2008"	"media & arts"	101
"Aug-2008"	"pets & animals"	19
"Aug-2008"	"religion & philosophy"	6
"Aug-2008"	"science & nature"	19
"Aug-2008"	"shopping"	25
"Aug-2008"	"society & culture"	26
"Aug-2008"	"sports, hobbies, & recreation"	55
"Aug-2008"	"technology"	59
"Aug-2008"	"travel & transportation"	80
"Aug-2008"	"work & money"	74
"Aug-2008"	"writing & language"	30
"Aug-2009"	"clothing, beauty, & fashion"	28
"Aug-2009"	"computers & internet"	147
"Aug-2009"	"education"	38
"Aug-2009"	"food & drink"	43
"Aug-2009"	"grab bag"	26
"Aug-2009"	"health & fitness"	74
"Aug-2009"	"home & garden"	49
"Aug-2009"	"human relations"	79
"Aug-2009"	"law & government"	31
"Aug-2009"	"media & arts"	117
"Aug-2009"	"pets & animals"	11
"Aug-2009"	"religion & philosophy"	3
"Aug-2009"	"science & nature"	22
"Aug-2009"	"shopping"	23
"Aug-2009"	"society & culture"	34
"Aug-2009"	"sports, hobbies, & recreation"	48
"Aug-2009"	"technology"	68
"Aug-2009"	"travel & transportation"	87
"Aug-2009"	"work & money"	85
"Aug-2009"	"writing & language"	23
"Aug-2010"	"clothing, beauty, & fashion"	18
"Aug-2010"	"computers & internet"	76
"Aug-2010"	"education"	19
"Aug-2010"	"food & drink"	32
"Aug-2010"	"grab bag"	18
"Aug-2010"	"health & fitness"	48
"Aug-2010"	"home & garden"	33
"Aug-2010"	"human relations"	65
"Aug-2010"	"law & government"	22
"Aug-2010"	"media & arts"	70
"Aug-2010"	"pets & animals"	11
"Aug-2010"	"religion & philosophy"	3
"Aug-2010"	"science & nature"	13
"Aug-2010"	"shopping"	14
"Aug-2010"	"society & culture"	16
"Aug-2010"	"sports, hobbies, & recreation"	28
"Aug-2010"	"technology"	34
"Aug-2010"	"travel & transportation"	52
"Aug-2010"	"work & money"	39
"Aug-2010"	"writing & language"	28
"Aug-2011"	"clothing, beauty, & fashion"	44
"Aug-2011"	"computers & internet"	180
"Aug-2011"	"education"	44
"Aug-2011"	"food & drink"	74
"Aug-2011"	"grab bag"	44
"Aug-2011"	"health & fitness"	99
"Aug-2011"	"home & garden"	78
"Aug-2011"	"human relations"	117
"Aug-2011"	"law & government"	37
"Aug-2011"	"media & arts"	150
"Aug-2011"	"pets & animals"	28
"Aug-2011"	"religion & philosophy"	7
"Aug-2011"	"science & nature"	27
"Aug-2011"	"shopping"	33
"Aug-2011"	"society & culture"	43
"Aug-2011"	"sports, hobbies, & recreation"	37
"Aug-2011"	"technology"	71
"Aug-2011"	"travel & transportation"	109
"Aug-2011"	"work & money"	127
"Aug-2011"	"writing & language"	38
"Aug-2012"	"clothing, beauty, & fashion"	34
"Aug-2012"	"computers & internet"	122
"Aug-2012"	"education"	39
"Aug-2012"	"food & drink"	55
"Aug-2012"	"grab bag"	29
"Aug-2012"	"health & fitness"	87
"Aug-2012"	"home & garden"	61
"Aug-2012"	"human relations"	93
"Aug-2012"	"law & government"	29
"Aug-2012"	"media & arts"	71
"Aug-2012"	"pets & animals"	15
"Aug-2012"	"religion & philosophy"	3
"Aug-2012"	"science & nature"	15
"Aug-2012"	"shopping"	23
"Aug-2012"	"society & culture"	18
"Aug-2012"	"sports, hobbies, & recreation"	47
"Aug-2012"	"technology"	53
"Aug-2012"	"travel & transportation"	82
"Aug-2012"	"work & money"	87
"Aug-2012"	"writing & language"	32
"Aug-2013"	"clothing, beauty, & fashion"	15
"Aug-2013"	"computers & internet"	34
"Aug-2013"	"education"	17
"Aug-2013"	"food & drink"	16
"Aug-2013"	"grab bag"	15
"Aug-2013"	"health & fitness"	33
"Aug-2013"	"home & garden"	22
"Aug-2013"	"human relations"	47
"Aug-2013"	"law & government"	11
"Aug-2013"	"media & arts"	42
"Aug-2013"	"pets & animals"	7
"Aug-2013"	"religion & philosophy"	3
"Aug-2013"	"science & nature"	13
"Aug-2013"	"shopping"	6
"Aug-2013"	"society & culture"	9
"Aug-2013"	"sports, hobbies, & recreation"	17
"Aug-2013"	"technology"	20
"Aug-2013"	"travel & transportation"	31
"Aug-2013"	"work & money"	25
"Aug-2013"	"writing & language"	7
"Aug-2014"	"clothing, beauty, & fashion"	3
"Aug-2014"	"computers & internet"	12
"Aug-2014"	"education"	2
"Aug-2014"	"food & drink"	7
"Aug-2014"	"grab bag"	8
"Aug-2014"	"health & fitness"	13
"Aug-2014"	"home & garden"	8
"Aug-2014"	"human relations"	15
"Aug-2014"	"law & government"	4
"Aug-2014"	"media & arts"	10
"Aug-2014"	"pets & animals"	3
"Aug-2014"	"science & nature"	3
"Aug-2014"	"society & culture"	3
"Aug-2014"	"sports, hobbies, & recreation"	2
"Aug-2014"	"technology"	8
"Aug-2014"	"travel & transportation"	7
"Aug-2014"	"work & money"	13
"Aug-2014"	"writing & language"	4
"Dec-2003"	"clothing, beauty, & fashion"	7
"Dec-2003"	"computers & internet"	134
"Dec-2003"	"education"	14
"Dec-2003"	"food & drink"	22
"Dec-2003"	"grab bag"	16
"Dec-2003"	"health & fitness"	23
"Dec-2003"	"home & garden"	21
"Dec-2003"	"human relations"	13
"Dec-2003"	"law & government"	4
"Dec-2003"	"media & arts"	63
"Dec-2003"	"pets & animals"	10
"Dec-2003"	"religion & philosophy"	6
"Dec-2003"	"science & nature"	7
"Dec-2003"	"shopping"	31
"Dec-2003"	"society & culture"	16
"Dec-2003"	"sports, hobbies, & recreation"	19
"Dec-2003"	"technology"	29
"Dec-2003"	"travel & transportation"	23
"Dec-2003"	"work & money"	21
"Dec-2003"	"writing & language"	19
"Dec-2004"	"clothing, beauty, & fashion"	27
"Dec-2004"	"computers & internet"	227
"Dec-2004"	"education"	26
"Dec-2004"	"food & drink"	41
"Dec-2004"	"grab bag"	45
"Dec-2004"	"health & fitness"	53
"Dec-2004"	"home & garden"	44
"Dec-2004"	"human relations"	50
"Dec-2004"	"law & government"	38
"Dec-2004"	"media & arts"	134
"Dec-2004"	"pets & animals"	15
"Dec-2004"	"religion & philosophy"	13
"Dec-2004"	"science & nature"	16
"Dec-2004"	"shopping"	62
"Dec-2004"	"society & culture"	38
"Dec-2004"	"sports, hobbies, & recreation"	33
"Dec-2004"	"technology"	64
"Dec-2004"	"travel & transportation"	80
"Dec-2004"	"work & money"	60
"Dec-2004"	"writing & language"	39
"Dec-2005"	"clothing, beauty, & fashion"	8
"Dec-2005"	"computers & internet"	77
"Dec-2005"	"education"	7
"Dec-2005"	"food & drink"	12
"Dec-2005"	"grab bag"	8
"Dec-2005"	"health & fitness"	18
"Dec-2005"	"home & garden"	16
"Dec-2005"	"human relations"	28
"Dec-2005"	"law & government"	13
"Dec-2005"	"media & arts"	29
"Dec-2005"	"pets & animals"	4
"Dec-2005"	"religion & philosophy"	3
"Dec-2005"	"science & nature"	9
"Dec-2005"	"shopping"	12
"Dec-2005"	"society & culture"	5
